ActivityID,StationID,Date_Tt,TP_mgL,PO4_mgL,NOx_mgL,TKN_mgL,NO3_mgL,NO2_mgL,TN_mgL,Bug_StationID,Type,Avg_NH_IBI_Score,Latitude,Longitude
2015-3994,02-ISR,8/18/2015,0.0124,,0.073,0.42,,,0.493,02-ISR,Not_Available,65.127,44.487925,-71.569608
A603354001,02-ISR,6/4/2006,0.017,,,,,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
A407092002,02-ISR,8/25/2014,0.0104,,0.1,,,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
2018-1119,02-ISR,6/18/2018,0.0131,,0.087,,0.083,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
2015-1030,02-ISR,6/15/2015,0.015,,,,,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
B607856001,02-ISR,8/22/2016,0.0588,,,,,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
B608983004,02-ISR,9/23/2016,0.00963,,,,,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
2013-235,02-ISR,3/12/2013,0.0185,,0.22,,,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
2017-2922,02-ISR,7/24/2017,0.00963,,0.097,,0.094,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
2016-5377,02-ISR,10/17/2016,0.00815,,0.051,,0.051,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
2015-2145,02-ISR,7/10/2015,0.0138,,,,,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
A807942001,02-ISR,8/5/2008,0.017,,,,,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
2015-3970,02-ISR,8/16/2015,0.0135,,,,,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
2012-1549,02-ISR,6/26/2012,0.037,,0.06,0.49,,,0.55,02-ISR,Not_Available,65.127,44.487925,-71.569608
2014-3968,02-ISR,8/25/2014,0.0112,,,,,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
A303799003,02-ISR,6/11/2013,0.0102,,0.059,,0.059,,,02-ISR,Not_Available,65.127,44.487925,-71.569608
2012-1550,02-ISR,6/26/2012,0.035,,0.06,0.45,,,0.51,02-ISR,Not_Available,65.127,44.487925,-71.569608
A106752001,02-JHN,7/29/2011,0.073,,0.23,0.25,0.21,,0.48,02-JHN,Non-Ref,78.25,44.407375,-71.631819
A106752002,02-JHN,7/29/2011,0.074,,0.23,0.29,0.21,,0.52,02-JHN,Non-Ref,78.25,44.407375,-71.631819
A108316001,02-JHN,8/26/2011,0.075,,0.26,0.67,0.24,,0.93,02-JHN,Non-Ref,78.25,44.407375,-71.631819
A105209001,02-JHN,6/29/2011,0.049,,0.17,0.28,0.15,,0.45,02-JHN,Non-Ref,78.25,44.407375,-71.631819
RA06290001,02-LCH,6/29/2000,0.021,,,0.74,0.43,,,00M-50,Non-Ref,34.529,42.919813,-71.445941
RA07200004,02-LCH,7/20/2000,0.011,,,0.29,1.03,,,00M-50,Non-Ref,34.529,42.919813,-71.445941
RA08100004,02-LCH,8/10/2000,0.029,,,0.74,0.45,,,00M-50,Non-Ref,34.529,42.919813,-71.445941
RV09210710,02-LHB,9/21/2007,,0.005,,,0.02,,,,,,43.14305,-70.92165
2018-2395,02-LNE,7/16/2018,0.02,,,,,,,,,,43.29714,-71.90499
2017-4671,02-LNE,8/26/2017,0.00883,,,,,,,,,,43.29714,-71.90499
RA06120005,02-LTR,6/12/2000,0.036,,,0.63,0.05,,,98P-72,Non-Ref,66.972,43.118706,-71.022144
RA07120002,02-LTR,7/12/2000,0.055,,,0.88,0.05,,,98P-72,Non-Ref,66.972,43.118706,-71.022144
RA07280002,02-LTR,7/28/2000,0.035,,,0.72,0.05,,,98P-72,Non-Ref,66.972,43.118706,-71.022144
RA06160001,02-MER,6/16/2000,0.038,,,0.41,0.25,,,,,,42.724236,-71.438208
RA07110001,02-MER,7/11/2000,0.086,,,0.66,0.56,,,,,,42.724236,-71.438208
RA08010001,02-MER,8/1/2000,0.055,,,0.48,0.38,,,,,,42.724236,-71.438208
RV05090511,02-MFB,5/9/2005,0.005,,,,,,,,,,43.657308,-71.499464
RV08310429,02-MFB,8/31/2004,0.0067,,,,,,,,,,43.657308,-71.499464
RV04150401,02-MFB,4/15/2004,0.0075,,,,,,,,,,43.657308,-71.499464
LLMP10081008,02-MFB,10/8/2010,0.01,,,,,,,,,,43.657308,-71.499464
RV06160503,02-MFB,6/16/2005,0.006,,,,,,,,,,43.657308,-71.499464
RV10200401,02-MFB,10/20/2004,0.0076,,,,,,,,,,43.657308,-71.499464
RV08020405,02-MFB,8/2/2004,0.0089,,,,,,,,,,43.657308,-71.499464
LLMP07281008,02-MFB,7/28/2010,0.0124,,,,,,,,,,43.657308,-71.499464
RV05250401,02-MFB,5/25/2004,0.0074,,,,,,,,,,43.657308,-71.499464
RV09140507,02-MFB,9/14/2005,0.006,,,,,,,,,,43.657308,-71.499464
RV10090502,02-MFB,10/9/2005,0.005,,,,,,,,,,43.657308,-71.499464
LLMP08301008,02-MFB,8/30/2010,0.0093,,,,,,,,,,43.657308,-71.499464
LLMP07211009,02-MFB,7/21/2010,0.0173,,,,,,,,,,43.657308,-71.499464
RV07120414,02-MFB,7/12/2004,0.0093,,,,,,,,,,43.657308,-71.499464
RV07140513,02-MFB,7/14/2005,0.006,,,,,,,,,,43.657308,-71.499464
RV09280405,02-MFB,9/28/2004,0.0067,,,,,,,,,,43.657308,-71.499464
LLMP07170907,02-MFB,7/17/2009,0.008,,,,,,,,,,43.657308,-71.499464
RV06280409,02-MFB,6/28/2004,0.0087,,,,,,,,,,43.657308,-71.499464
RV06280416,02-MFB,6/28/2004,0.0093,,,,,,,,,,43.657308,-71.499464
RV07140511,02-MFB,7/14/2005,0.009,,,,,,,,,,43.657308,-71.499464
RV08180421,02-MFB,8/18/2004,0.0077,,,,,,,,,,43.657308,-71.499464
RV09160411,02-MFB,9/16/2004,0.01,,,,,,,,,,43.657308,-71.499464
RV04090503,02-MFB,4/9/2005,0.019,,,,0.052,,,,,,43.657308,-71.499464
2019-2516,02-MHK,7/16/2019,0.00655,,0.25,,0.24,,,02-MHK,Not_Available,,44.892757,-71.493354
2019-3977,02-MHK,8/13/2019,0.0159,,0.2,,0.2,,,02-MHK,Not_Available,,44.892757,-71.493354
2019-1149,02-MHK,6/18/2019,,,0.14,,0.13,,,02-MHK,Not_Available,,44.892757,-71.493354
A506625002,02-MHKE,8/11/2015,0.00788,,0.16,,,,,NHSS-1082,Not_Available,72.519,44.883574,-71.362648
A308801002,02-MLG,10/11/2013,0.0163,,0.3,,,,,02-MLG,Not_Available,,43.207836,-70.977289
A207184008,02-MNB,8/9/2012,0.033,,0.095,0.47,0.09,,0.565,02-MNB,Non-Ref,60.817,42.907496,-71.288107
A205978002,02-MNB,7/19/2012,0.026,,0.07,0.58,0.064,,0.65,02-MNB,Non-Ref,60.817,42.907496,-71.288107
A204627002,02-MNB,6/21/2012,0.031,,0.084,0.41,0.079,,0.494,02-MNB,Non-Ref,60.817,42.907496,-71.288107
A202667005,02-MNB,5/1/2012,0.026,,,,,,,02-MNB,Non-Ref,60.817,42.907496,-71.288107
RA07030104,02-MOO,7/3/2001,0.004,,,0.1,0.11,,,,,,44.396178,-71.194253
2019-1348,02-MQB,6/20/2019,0.0546,,2.7,0.45,2.7,,3.15,,,,42.964747,-71.477947
2016-4826,02-MQB,8/30/2016,0.0339,,2.9,0.57,,,3.47,,,,42.964747,-71.477947
2017-1740,02-MQB,6/28/2017,0.0292,,2.7,0.37,,,3.07,,,,42.964747,-71.477947
2018-3732,02-MQB,8/9/2018,0.0693,,2.3,0.53,,,2.83,,,,42.964747,-71.477947
2017-2261,02-MQB,7/12/2017,0.0213,,2.9,0.29,,,3.19,,,,42.964747,-71.477947
B606014001,02-MQB,7/19/2016,0.043,,2.2,0.34,,,2.54,,,,42.964747,-71.477947
2018-1852,02-MQB,7/3/2018,0.0201,,2.8,,,,,,,,42.964747,-71.477947
2019-3999,02-MQB,8/14/2019,0.0137,,3,,,,,,,,42.964747,-71.477947
2017-2260,02-MQB,7/12/2017,0.0213,,2.9,0.31,,,3.21,,,,42.964747,-71.477947
2016-2000,02-MQB,6/30/2016,0.046,,2.3,0.46,,,2.76,,,,42.964747,-71.477947
2017-3761,02-MQB,8/9/2017,0.019,,2.8,0.33,,,3.13,,,,42.964747,-71.477947
2018-2512,02-MQB,7/18/2018,0.0345,,2.1,0.31,,,2.41,,,,42.964747,-71.477947
2019-2712,02-MQB,7/18/2019,0.0154,,2.9,,,,,,,,42.964747,-71.477947
TU09162016_02-NOR,02-NOR,9/16/2016,,0.00850724,,,0.0247,,,,,,43.079311,-71.035533
TU09022016_02-NOR,02-NOR,9/2/2016,,0.01246301,,,0.0279,,,,,,43.079311,-71.035533
TU07082016_02-NOR,02-NOR,7/8/2016,,0.00770045,,,0.0532,,,,,,43.079311,-71.035533
TU08032016_02-NORD,02-NOR,8/3/2016,,0.01007766,,,0.0438,,,,,,43.079311,-71.035533
TU06102016_02-NOR,02-NOR,6/10/2016,,0.0042613,,,0.0498,,,,,,43.079311,-71.035533
TU010272016_02-NOR,02-NOR,10/27/2016,,0.01090604,,,0.0079,,,,,,43.079311,-71.035533
TU08192016_02-NOR,02-NOR,8/19/2016,,0.01494271,,,0.0296,,,,,,43.079311,-71.035533
TU010142016_02-NOR,02-NOR,10/14/2016,,0.00335887,,,0.0078,,,,,,43.079311,-71.035533
TU09302016_02-NOR,02-NOR,9/30/2016,,0.009538,,,0.0256,,,,,,43.079311,-71.035533
TU08032016_02-NOR,02-NOR,8/3/2016,,0.01799231,,,0.0347,,,,,,43.079311,-71.035533
TU06242016_02-NOR,02-NOR,6/24/2016,,0.00675874,,,0.1026,,,,,,43.079311,-71.035533
TU07222016_02-NOR,02-NOR,7/22/2016,,0.00599226,,,0.055,,,,,,43.079311,-71.035533
2010-2723,02-NSH,7/21/2010,0.029,,,,,,,,,,42.763606,-71.454803
2010-4026,02-NSH,8/18/2010,0.019,,,,,,,,,,42.763606,-71.454803
2010-3468,02-NSH,8/4/2010,0.023,,,,,,,,,,42.763606,-71.454803
2010-3166,02-NSH,7/28/2010,0.035,,,,,,,,,,42.763606,-71.454803
2010-4630,02-NSH,9/1/2010,0.02,,,,,,,,,,42.763606,-71.454803
2015-2830,02-NSH,7/22/2015,0.0271,,,,,,,,,,42.763606,-71.454803
2010-3702,02-NSH,8/11/2010,0.018,,,,,,,,,,42.763606,-71.454803
2015-4945,02-NSH,10/23/2015,0.0236,,,,,,,,,,42.763606,-71.454803
2015-3196,02-NSH,7/29/2015,0.0246,,,,,,,,,,42.763606,-71.454803
2010-2724,02-NSH,7/21/2010,0.032,,,,,,,,,,42.763606,-71.454803
2015-4299,02-NSH,8/25/2015,0.03,,,,,,,,,,42.763606,-71.454803
2015-4691,02-NSH,9/14/2015,0.0229,,,,,,,,,,42.763606,-71.454803
2010-4293,02-NSH,8/25/2010,0.021,,,,,,,,,,42.763606,-71.454803
2015-4935,02-NSH,10/19/2015,0.0216,,,,,,,,,,42.763606,-71.454803
2010-4734,02-NSH,9/8/2010,0.016,,,,,,,,,,42.763606,-71.454803
2010-2374,02-NSH,7/14/2010,0.023,,,,,,,,,,42.763606,-71.454803
2015-3362,02-NSH,8/4/2015,0.0215,,,,,,,,,,42.763606,-71.454803
2015-4300,02-NSH,8/25/2015,0.03,,,,,,,,,,42.763606,-71.454803
2010-4631,02-NSH,9/1/2010,0.02,,,,,,,,,,42.763606,-71.454803
RV07230203,02-NSR,7/23/2002,0.112,,,,,,,,,,43.414939,-72.185739
RV08230203,02-NSR,8/23/2002,0.098,,,,,,,,,,43.414939,-72.185739
RV07100102,02-NSR,7/10/2001,,,,,0.06,,,,,,43.414939,-72.185739
RV05170103,02-NSR,5/17/2001,,,,,0.07,,,,,,43.414939,-72.185739
RV06050103,02-NSR,6/5/2001,,,,,0.05,,,,,,43.414939,-72.185739
RV08280103,02-NSR,8/28/2001,,,,,0.06,,,,,,43.414939,-72.185739
RV05030102,02-NSR,5/3/2001,,,,,0.07,,,,,,43.414939,-72.185739
RV10160102,02-NSR,10/16/2001,0.014,,,,0.13,,,,,,43.414939,-72.185739
RV04050102,02-NSR,4/5/2001,,,,,0.15,,,,,,43.414939,-72.185739
RV06260102,02-NSR,6/26/2001,,,,,0.16,,,,,,43.414939,-72.185739
RV09250102,02-NSR,9/25/2001,,,,,0.05,,,,,,43.414939,-72.185739
RV03150103,02-NSR,3/15/2001,,,,,0.15,,,,,,43.414939,-72.185739
RV05160007,02-NSR,5/16/2000,,,,,0.001,,,,,,43.414939,-72.185739
RV06250206,02-NSR,6/25/2002,0.029,,,,,,,,,,43.414939,-72.185739
RV09110102,02-NSR,9/11/2001,,,,,0.06,,,,,,43.414939,-72.185739
RV07090203,02-NSR,7/9/2002,0.062,,,,,,,,,,43.414939,-72.185739
RA07100006,02-OTT,7/10/2000,0.014,,,0.24,0.17,,,98C-28,Non-Ref,74.422,44.485567,-71.524367
RA08020004,02-OTT,8/2/2000,0.013,,,0.19,0.2,,,98C-28,Non-Ref,74.422,44.485567,-71.524367
RA08210007,02-OTT,8/21/2000,0.013,,,0.21,0.1,,,98C-28,Non-Ref,74.422,44.485567,-71.524367
A911712002,02-PAR,10/14/2009,0.014,,,0.31,,,,,,,43.060604,-71.140582
RA07030105,02-PBD,7/3/2001,0.003,,,0.2,0.09,,,,,,44.363964,-71.176692
A607273001,02-PGS,8/9/2006,0.005,,0.11,,,,,06s-101,Ref,65.7,43.907783,-71.289583
A606067001,02-PGS,7/25/2006,,,0.1,,,,,06s-101,Ref,65.7,43.907783,-71.289583
2006-1689,02-PGS,6/20/2006,0.01,,0.1,,,,,06s-101,Ref,65.7,43.907783,-71.289583
A604541001,02-PGS,7/5/2006,,,0.1,,,,,06s-101,Ref,65.7,43.907783,-71.289583
A608314001,02-PGS,8/24/2006,,,0.11,,,,,06s-101,Ref,65.7,43.907783,-71.289583
A103823002,02-RED,5/26/2011,0.0055,,0.083,,0.081,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A007949001,02-RED,8/11/2010,0.0076,,0.42,,0.42,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A007949002,02-RED,8/11/2010,0.0059,,0.43,,0.43,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A101793002,02-RED,3/25/2011,,,0.19,,0.19,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A012204002,02-RED,12/14/2010,0.0062,,0.095,,0.095,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A010900002,02-RED,10/26/2010,0.029,,0.062,0.25,,,0.312,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A004888001,02-RED,6/15/2010,,,0.22,,0.22,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A010320002,02-RED,10/6/2010,0.0051,,0.33,,0.33,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A104515002,02-RED,6/13/2011,0.0055,,0.14,0.4,0.14,,0.54,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A100267002,02-RED,1/11/2011,,,0.21,,0.21,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A100267003,02-RED,1/11/2011,,,0.21,,0.21,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A101056002,02-RED,2/17/2011,,,0.27,,0.27,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A006770001,02-RED,7/22/2010,0.0069,,0.32,,0.32,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A011438002,02-RED,11/15/2010,,,0.16,,0.16,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
A103019003,02-RED,5/4/2011,0.0085,,,,,,,02-RED; FW08NH192,Not_Available,,43.396501,-72.360276
RA08100001,02-RPB,8/10/2000,0.019,,,0.43,0.09,,,00M-47,Non-Ref,40.44,42.725158,-71.637725
RA07200001,02-RPB,7/20/2000,0.018,,,0.3,0.09,,,00M-47,Non-Ref,40.44,42.725158,-71.637725
RA06280001,02-RPB,6/28/2000,0.02,,,0.39,0.05,,,00M-47,Non-Ref,40.44,42.725158,-71.637725
A59773-5,02-SAC,7/7/2003,0.011,,0.24,0.25,,,0.49,,,,44.000547,-71.082617
A59773-4,02-SAC,7/7/2003,0.011,,0.24,0.25,,,0.49,,,,44.000547,-71.082617
2016-5038,02-SAG,9/9/2016,0.041,,,,,,,,,,43.054743,-70.749055
02-SAG_070218_1517,02-SAG,7/2/2018,,0.02036084,0.01287,,,,,,,,43.054743,-70.749055
2017-3797,02-SAG,8/9/2017,0.0416,,,,,,,,,,43.054743,-70.749055
02-SAG_110518_1425,02-SAG,11/5/2018,,0.01908719,0.002,,,,,,,,43.054743,-70.749055
2017-2341,02-SAG,7/13/2017,0.0612,,,,,,,,,,43.054743,-70.749055
LHB19_071818_0535,02-SAG,7/18/2018,,0.0117777,0.0725,,,,,,,,43.054743,-70.749055
02-SAG_082818_1345,02-SAG,8/28/2018,,0.02482382,0.12914,,,,,,,,43.054743,-70.749055
2016-3751,02-SAG,8/5/2016,0.0462,,,,,,,,,,43.054743,-70.749055
02-SAG_082918_0915,02-SAG,8/29/2018,,0.02533116,0.03309,,,,,,,,43.054743,-70.749055
02-SAG_101018_1150,02-SAG,10/10/2018,,0.01615221,0.03547,,,,,,,,43.054743,-70.749055
02-SAG_101118_0635,02-SAG,10/11/2018,,0.02107419,0.04173,,,,,,,,43.054743,-70.749055
2016-2447,02-SAG,7/12/2016,,,,0.31,,,,,,,43.054743,-70.749055
2016-3136,02-SAG,7/25/2016,0.0434,,,0.7,,,,,,,43.054743,-70.749055
02-SAG_110518_0755,02-SAG,11/5/2018,,0.01507665,0.06717,,,,,,,,43.054743,-70.749055
02-SAG_120318_1350,02-SAG,12/3/2018,,0.01706734,0.21858,,,,,,,,43.054743,-70.749055
02-SAG_120318_0800,02-SAG,12/3/2018,,0.02567205,,,,,,,,,43.054743,-70.749055
SGC-03_071818_1020,02-SAG,7/18/2018,,0.01315918,0.07265,,,,,,,,43.054743,-70.749055
04-SAG_070318_0950,02-SAG,7/3/2018,,0.02011585,0.04376,,,,,,,,43.054743,-70.749055
02-SAG_082918_0915-2,02-SAG,8/29/2018,,0.02163363,0.04407,,,,,,,,43.054743,-70.749055
A46793-15,02-SBA,8/28/2002,0.015,0.01,,0.1,0.13,0.05,0.28,,,,42.875983,-72.277211
2011-2739,02-SBA,7/19/2011,0.021,,,,,,,,,,42.875983,-72.277211
A609778011,02-SBA,9/26/2006,0.041,,,,,,,,,,42.875983,-72.277211
A29667-8,02-SBA,8/29/2001,0.02,0.01,0.16,0.3,,,0.46,,,,42.875983,-72.277211
2005-5895,02-SBA,9/14/2005,0.018,0.01,0.2,0.25,,,0.45,,,,42.875983,-72.277211
A405291007,02-SBA,7/22/2014,0.0163,,,,,,,,,,42.875983,-72.277211
A808865012,02-SBA,8/19/2008,0.02,,,,,,,,,,42.875983,-72.277211
A308281007,02-SBA,9/17/2013,0.0183,,,,,,,,,,42.875983,-72.277211
2012-4493,02-SBA,9/11/2012,0.022,,,,,,,,,,42.875983,-72.277211
B607569007,02-SBA,8/16/2016,0.0311,,,,,,,,,,42.875983,-72.277211
2005-5312,02-SBA,8/25/2005,0.02,0.01,0.17,0.25,,,0.42,,,,42.875983,-72.277211
2005-5284,02-SBA,8/25/2005,0.021,0.01,0.17,0.3,,,0.47,,,,42.875983,-72.277211
A28902-8,02-SBA,8/16/2001,0.023,0.047,0.16,0.3,,,0.46,,,,42.875983,-72.277211
2018-2830,02-SBA,7/17/2018,0.0198,,,,,,,,,,42.875983,-72.277211
A107999011,02-SBA,8/16/2011,0.045,,,,,,,,,,42.875983,-72.277211
A709857011,02-SBA,8/14/2007,0.021,,,,,,,,,,42.875983,-72.277211
A46793-14,02-SBA,8/28/2002,0.015,0.01,,0.2,0.13,0.05,0.38,,,,42.875983,-72.277211
2015-4774,02-SBA,9/15/2015,0.0237,,,,,,,,,,42.875983,-72.277211
B606074007,02-SBA,7/19/2016,0.0147,,,,,,,,,,42.875983,-72.277211
2012-2460,02-SBA,7/17/2012,0.027,,,,,,,,,,42.875983,-72.277211
2012-4006,02-SBA,8/21/2012,0.02,,,,,,,,,,42.875983,-72.277211
A605754011,02-SBA,7/18/2006,0.028,,,,,,,,,,42.875983,-72.277211
2010-2809,02-SBA,7/20/2010,0.023,,,,,,,,,,42.875983,-72.277211
A29324-8,02-SBA,8/23/2001,0.017,0.01,0.16,0.3,,,0.46,,,,42.875983,-72.277211
2017-4106,02-SBA,8/15/2017,0.0142,,,,,,,,,,42.875983,-72.277211
A711157011,02-SBA,9/11/2007,0.027,,,,,,,,,,42.875983,-72.277211
A305766008,02-SBA,7/23/2013,0.0512,,,,,,,,,,42.875983,-72.277211
A307255008,02-SBA,8/20/2013,0.0159,,,,,,,,,,42.875983,-72.277211
A604114011,02-SBA,6/24/2006,0.029,,,,,,,,,,42.875983,-72.277211
2018-4045,02-SBA,8/14/2018,0.0259,,,,,,,,,,42.875983,-72.277211
2015-3983,02-SBA,8/18/2015,0.0163,,,,,,,,,,42.875983,-72.277211
2010-4856,02-SBA,9/14/2010,0.013,,,,,,,,,,42.875983,-72.277211
A407846003,02-SBA,9/16/2014,0.0111,,,,,,,,,,42.875983,-72.277211
2019-4414,02-SBA,8/20/2019,0.0166,,,,,,,,,,42.875983,-72.277211
A907488012,02-SBA,7/21/2009,0.026,,,,,,,,,,42.875983,-72.277211
A907488011,02-SBA,7/21/2009,0.028,,,,,,,,,,42.875983,-72.277211
2010-3943,02-SBA,8/17/2010,0.02,,,,,,,,,,42.875983,-72.277211
A810230011,02-SBA,9/15/2008,0.021,,,,,,,,,,42.875983,-72.277211
A406834007,02-SBA,8/19/2014,0.0111,,,,,,,,,,42.875983,-72.277211
2017-5030,02-SBA,9/12/2017,0.0147,,,,,,,,,,42.875983,-72.277211
2009-2066,02-SBA,6/23/2009,0.026,,,,,,,,,,42.875983,-72.277211
A708077011,02-SBA,7/17/2007,0.036,,,,,,,,,,42.875983,-72.277211
2009-4901,02-SBA,8/18/2009,0.026,,,,,,,,,,42.875983,-72.277211
2019-3027,02-SBA,7/23/2019,0.0445,,,,,,,,,,42.875983,-72.277211
2015-4773,02-SBA,9/15/2015,0.0226,,,,,,,,,,42.875983,-72.277211
A505574007,02-SBA,7/21/2015,0.0164,,,,,,,,,,42.875983,-72.277211
2016-5113,02-SBA,9/13/2016,0.0136,,,,,,,,,,42.875983,-72.277211
A805561011,02-SBA,6/23/2008,0.034,,,,,,,,,,42.875983,-72.277211
A602172011,02-SBA,5/20/2006,0.022,,,,,,,,,,42.875983,-72.277211
2011-4316,02-SBA,9/13/2011,0.021,,,,,,,,,,42.875983,-72.277211
A608279011,02-SBA,8/22/2006,0.03,,,,,,,,,,42.875983,-72.277211
B607569008,02-SBA,8/16/2016,0.0327,,,,,,,,,,42.875983,-72.277211
A910002003,02-SBD,8/27/2009,0.012,,0.11,,,,,FW08NH149,Ref,85.981,44.958747,-71.148789
2009-4192,02-SBD,8/6/2009,0.017,,0.079,,,,,FW08NH149,Ref,85.981,44.958747,-71.148789
A907107003,02-SBD,7/14/2009,0.016,,0.064,,0.06,,,FW08NH149,Ref,85.981,44.958747,-71.148789
A910002004,02-SBD,8/27/2009,0.025,,0.11,,,,,FW08NH149,Ref,85.981,44.958747,-71.148789
2006-4078,02-SCM,8/7/2006,0.023,,,0.5,,,,,,,42.763171,-71.681241
2006-2626,02-SCM,7/10/2006,0.029,,,0.5,,,,,,,42.763171,-71.681241
2006-5028,02-SCM,8/23/2006,0.018,,,,,,,,,,42.763171,-71.681241
RA07110002,02-SEC,7/11/2000,0.019,,,0.66,0.05,,,00M-49,Not_Available,33.865,42.751649,-71.41934
RA06160002,02-SEC,6/16/2000,0.013,,,1.03,0.05,,,00M-49,Not_Available,33.865,42.751649,-71.41934
RA08010002,02-SEC,8/1/2000,0.016,,,0.57,0.05,,,00M-49,Not_Available,33.865,42.751649,-71.41934
2009-3171,02-SHG,7/21/2009,0.035,,0.25,0.31,,,0.56,,,,42.860642,-71.493033
2019-2635,02-SHG,7/17/2019,0.0299,,0.25,0.35,0.25,,0.6,,,,42.860642,-71.493033
2019-4132,02-SHG,8/15/2019,0.0297,,0.31,,0.31,,,,,,42.860642,-71.493033
2020-1620,02-SHG,8/20/2020,0.0234,,0.4,,0.4,,,,,,42.860642,-71.493033
2015-2585,02-SHG,7/20/2015,0.0235,,0.4,0.53,0.39,,0.93,,,,42.860642,-71.493033
B604504005,02-SHG,6/21/2016,0.0454,,0.72,0.46,0.72,,1.18,,,,42.860642,-71.493033
2016-2427,02-SHG,7/12/2016,0.0394,,0.71,0.3,0.71,,1.01,,,,42.860642,-71.493033
RA07190204,02-SHG,7/19/2002,0.052,,,0.3,,,,,,,42.860642,-71.493033
2018-2555,02-SHG,7/18/2018,0.0352,,0.33,0.45,0.32,,0.78,,,,42.860642,-71.493033
2009-4685,02-SHG,8/18/2009,0.028,,0.32,,,,,,,,42.860642,-71.493033
A59125-4,02-SHG,6/25/2003,,,0.26,0.4,,,0.66,,,,42.860642,-71.493033
2019-1247,02-SHG,6/19/2019,0.0271,,0.24,0.25,0.23,,0.49,,,,42.860642,-71.493033
2018-202,02-SHG,4/5/2018,0.0175,,0.16,,0.16,,,,,,42.860642,-71.493033
RA07100105,02-SHG,7/10/2001,0.048,,,0.2,0.43,,,,,,42.860642,-71.493033
A404816003,02-SHG,7/14/2014,0.0347,,0.25,0.29,0.24,,0.54,,,,42.860642,-71.493033
A308830003,02-SHG,10/15/2013,0.0354,,0.34,,,,,,,,42.860642,-71.493033
2020-144,02-SHG,2/20/2020,0.0166,,0.39,,0.38,,,,,,42.860642,-71.493033
2017-4055,02-SHG,8/15/2017,0.0359,,0.37,0.25,0.36,,0.62,,,,42.860642,-71.493033
2010-1373,02-SHG,6/22/2010,0.043,,0.36,0.25,,,0.61,,,,42.860642,-71.493033
2020-683,02-SHG,6/24/2020,0.0291,,0.83,,0.82,,,,,,42.860642,-71.493033
2008-1620,02-SHG,6/19/2008,0.059,,0.35,0.39,,,0.74,,,,42.860642,-71.493033
RA09060103,02-SHG,9/6/2001,0.083,,,0.3,0.65,,,,,,42.860642,-71.493033
RA07190004,02-SHG,7/19/2000,0.038,,,0.25,0.39,,,,,,42.860642,-71.493033
2004-1341,02-SHG,6/17/2004,0.051,,0.43,,,,,,,,42.860642,-71.493033
2020-1175,02-SHG,7/23/2020,0.031,,0.35,,0.35,,,,,,42.860642,-71.493033
2017-1500,02-SHG,6/22/2017,0.032,,0.22,0.32,0.21,,0.54,,,,42.860642,-71.493033
2004-2585,02-SHG,7/15/2004,0.067,,0.6,0.4,,,1,,,,42.860642,-71.493033
A306660003,02-SHG,8/8/2013,0.0343,,0.26,0.39,,,0.65,,,,42.860642,-71.493033
2007-2761,02-SHG,7/19/2007,0.05,,0.41,0.33,,,0.74,,,,42.860642,-71.493033
2008-4982,02-SHG,8/25/2008,0.036,,0.36,0.28,,,0.64,,,,42.860642,-71.493033
2017-2534,02-SHG,7/18/2017,0.04,,0.34,0.26,0.33,,0.6,,,,42.860642,-71.493033
2016-4171,02-SHG,8/16/2016,0.0369,,0.35,0.31,0.35,,0.66,,,,42.860642,-71.493033
2012-3822,02-SHG,8/21/2012,0.041,,0.28,0.31,,,0.59,,,,42.860642,-71.493033
2012-1264,02-SHG,6/19/2012,0.033,,0.39,0.78,,,1.17,,,,42.860642,-71.493033
2006-2755,02-SHG,7/12/2006,0.036,,0.43,0.3,,,0.73,,,,42.860642,-71.493033
2011-2108,02-SHG,7/19/2011,0.037,,0.27,0.44,,,0.71,,,,42.860642,-71.493033
